=====================================================================================
Scenario   | Metric                    | Mean       | Std Dev    | Min        | Max       
-------------------------------------------------------------------------------------
1          | C2_file_count             | 6.09       | 0.91       | 3.00       | 9.00      
1          | C2_time_elapsed           | 119.15     | 8.95       | 94.44      | 145.11    
1          | C8_file_count             | 4.16       | 0.93       | 2.00       | 8.00      
1          | C8_time_elapsed           | 83.72      | 11.20      | 54.26      | 123.35    
1          | MA1_file_count            | 2.00       | 0.56       | 0.00       | 4.00      
1          | MA1_time_elapsed          | 44.37      | 5.00       | 22.27      | 54.24     
1          | goodput_bytes_per_second  | 75.76      | 7.26       | 56.04      | 106.93    
1          | latency                   | 181.26     | 16.96      | 127.29     | 242.87    
2          | C2_file_count             | 5.24       | 0.78       | 3.00       | 8.00      
2          | C2_time_elapsed           | 115.73     | 9.80       | 86.77      | 154.79    
2          | C8_file_count             | 5.77       | 0.82       | 4.00       | 9.00      
2          | C8_time_elapsed           | 127.42     | 10.99      | 91.64      | 164.16    
2          | MA1_file_count            | 2.75       | 0.85       | 1.00       | 7.00      
2          | MA1_time_elapsed          | 62.40      | 15.22      | 33.05      | 153.78    
2          | goodput_bytes_per_second  | 277.82     | 25.04      | 212.66     | 373.70    
2          | latency                   | 208.65     | 18.44      | 153.89     | 270.42    
3          | C2_file_count             | 5.08       | 0.55       | 4.00       | 6.00      
3          | C2_time_elapsed           | 100.61     | 1.57       | 95.65      | 105.71    
3          | C8_file_count             | 5.02       | 0.70       | 3.00       | 7.00      
3          | C8_time_elapsed           | 99.82      | 9.23       | 73.89      | 130.54    
3          | MA1_file_count            | 2.00       | 0.28       | 1.00       | 3.00      
3          | MA1_time_elapsed          | 43.48      | 0.43       | 42.89      | 53.10     
3          | goodput_bytes_per_second  | 292.42     | 18.22      | 244.52     | 359.40    
3          | latency                   | 196.10     | 12.19      | 158.94     | 233.61    
4          | C2_file_count             | 2.56       | 0.69       | 0.00       | 5.00      
4          | C2_time_elapsed           | 139.14     | 11.22      | 105.85     | 171.21    
4          | C8_file_count             | 2.09       | 0.70       | 0.00       | 4.00      
4          | C8_time_elapsed           | 116.63     | 12.10      | 77.54      | 162.33    
4          | MA1_file_count            | 1.38       | 0.61       | 0.00       | 3.00      
4          | MA1_time_elapsed          | 84.82      | 13.14      | 43.02      | 114.15    
4          | goodput_bytes_per_second  | 38.40      | 5.93       | 13.84      | 71.67     
4          | latency                   | 230.05     | 37.58      | 120.30     | 623.16    
5          | C2_file_count             | 1.90       | 0.62       | 0.00       | 4.00      
5          | C2_time_elapsed           | 125.71     | 9.67       | 96.64      | 160.83    
5          | C8_file_count             | 3.16       | 0.73       | 0.00       | 5.00      
5          | C8_time_elapsed           | 195.91     | 16.44      | 142.70     | 245.17    
5          | MA1_file_count            | 0.84       | 0.51       | 0.00       | 3.00      
5          | MA1_time_elapsed          | 61.17      | 17.90      | 22.72      | 183.55    
5          | goodput_bytes_per_second  | 79.48      | 12.31      | 40.27      | 119.61    
5          | latency                   | 267.65     | 43.03      | 173.54     | 515.44    
6          | C2_file_count             | 2.93       | 0.73       | 0.00       | 4.00      
6          | C2_time_elapsed           | 193.13     | 2.08       | 186.39     | 200.21    
6          | C8_file_count             | 2.95       | 0.77       | 0.00       | 5.00      
6          | C8_time_elapsed           | 195.71     | 16.80      | 148.45     | 250.59    
6          | MA1_file_count            | 0.35       | 0.49       | 0.00       | 2.00      
6          | MA1_time_elapsed          | 43.79      | 2.97       | 42.88      | 92.94     
6          | goodput_bytes_per_second  | 98.01      | 15.54      | 45.26      | 158.22    
6          | latency                   | 287.85     | 48.58      | 173.72     | 607.24    
7          | C2_file_count             | 2.17       | 0.65       | 0.00       | 4.00      
7          | C2_time_elapsed           | 75.97      | 7.74       | 52.62      | 98.29     
7          | C8_file_count             | 1.82       | 0.71       | 0.00       | 4.00      
7          | C8_time_elapsed           | 65.87      | 9.63       | 36.77      | 96.53     
7          | MA1_file_count            | 1.45       | 0.65       | 0.00       | 4.00      
7          | MA1_time_elapsed          | 55.23      | 10.14      | 23.49      | 93.29     
7          | goodput_bytes_per_second  | 52.77      | 8.13       | 26.77      | 115.54    
7          | latency                   | 144.54     | 20.96      | 64.60      | 278.73    
8          | C2_file_count             | 3.28       | 0.69       | 0.00       | 5.00      
8          | C2_time_elapsed           | 120.43     | 9.40       | 94.78      | 151.40    
8          | C8_file_count             | 4.58       | 0.83       | 2.00       | 7.00      
8          | C8_time_elapsed           | 163.34     | 13.29      | 121.84     | 214.29    
8          | MA1_file_count            | 2.22       | 1.03       | 0.00       | 7.00      
8          | MA1_time_elapsed          | 84.44      | 29.26      | 23.14      | 233.36    
8          | goodput_bytes_per_second  | 155.39     | 18.34      | 99.04      | 227.88    
8          | latency                   | 223.85     | 26.72      | 150.52     | 346.33    
9          | C2_file_count             | 4.07       | 0.67       | 0.00       | 6.00      
9          | C2_time_elapsed           | 145.93     | 1.92       | 140.40     | 151.73    
9          | C8_file_count             | 3.66       | 0.72       | 0.00       | 6.00      
9          | C8_time_elapsed           | 130.73     | 11.43      | 99.80      | 165.39    
9          | MA1_file_count            | 0.92       | 0.37       | 0.00       | 2.00      
9          | MA1_time_elapsed          | 43.63      | 1.86       | 42.88      | 73.61     
9          | goodput_bytes_per_second  | 178.56     | 22.05      | 85.17      | 259.77    
9          | latency                   | 221.99     | 28.23      | 150.25     | 458.26    
10         | C2_file_count             | 2.33       | 0.90       | 0.00       | 4.00      
10         | C2_time_elapsed           | 104.46     | 9.18       | 77.69      | 130.44    
10         | C8_file_count             | 1.79       | 0.89       | 0.00       | 4.00      
10         | C8_time_elapsed           | 83.12      | 10.75      | 52.64      | 122.21    
10         | MA1_file_count            | 0.77       | 0.60       | 0.00       | 3.00      
10         | MA1_time_elapsed          | 46.15      | 5.87       | 32.27      | 73.50     
10         | goodput_bytes_per_second  | 36.79      | 8.70       | 16.87      | 66.46     
10         | latency                   | 195.98     | 47.10      | 102.61     | 404.16    
11         | C2_file_count             | 2.25       | 0.88       | 0.00       | 5.00      
11         | C2_time_elapsed           | 118.73     | 9.69       | 88.57      | 147.47    
11         | C8_file_count             | 2.47       | 0.90       | 0.00       | 5.00      
11         | C8_time_elapsed           | 129.25     | 11.60      | 97.48      | 166.26    
11         | MA1_file_count            | 0.77       | 0.65       | 0.00       | 3.00      
11         | MA1_time_elapsed          | 53.32      | 12.35      | 22.96      | 93.86     
11         | goodput_bytes_per_second  | 103.39     | 23.89      | 48.79      | 186.49    
11         | latency                   | 234.62     | 54.12      | 123.44     | 471.80    
12         | C2_file_count             | 1.29       | 0.88       | 0.00       | 4.00      
12         | C2_time_elapsed           | 100.70     | 1.51       | 95.86      | 105.60    
12         | C8_file_count             | 1.25       | 0.89       | 0.00       | 4.00      
12         | C8_time_elapsed           | 98.91      | 9.47       | 65.39      | 132.16    
12         | MA1_file_count            | 0.23       | 0.46       | 0.00       | 3.00      
12         | MA1_time_elapsed          | 46.27      | 9.31       | 42.90      | 123.86    
12         | goodput_bytes_per_second  | 109.36     | 25.57      | 49.26      | 200.62    
12         | latency                   | 255.66     | 61.17      | 131.92     | 537.32    
=====================================================================================
